timestamp,student_id,name,department,grade,double_major_minor_second_speciality,first_choice,second_choice,weight,result
2025-01-22 00:21:21.635499,52,student_52,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,李教授班,10.855081847233178,分發結果: 志願序不符合規定
2025-01-22 00:21:19.635499,50,student_50,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),高教授班,高教授班,10.869772723525882,分發結果: 高教授班
2025-01-22 00:21:33.635499,64,student_64,資工系 (CS),大二 (sophomore),無,李教授班,李教授班,10.887901469583745,分發結果: 李教授班
2025-01-22 00:21:34.635499,65,student_65,資工系 (CS),大二 (sophomore),無,李教授班,高教授班,10.964839475176205,分發結果: 李教授班
2025-01-22 00:21:23.635499,54,student_54,資工系 (CS),大二 (sophomore),輔系:資工系 (minor in CS),無,無,10.971024303575566,分發結果: 志願序不符合規定
2025-01-22 00:21:10.635499,41,student_41,資工系 (CS),大二 (sophomore),雙主修:資工系 (also major in CS),高教授班,高教授班,10.984014806144033,分發結果: 高教授班
2025-01-22 00:21:28.635499,59,student_59,資工系 (CS),大二 (sophomore),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班,10.994210847208594,分發結果: 高教授班
2025-01-22 00:22:46.635499,137,student_137,資工系 (CS),大四 (senior),無,李教授班,高教授班,20.001806526978527,分發結果: 李教授班
2025-01-22 00:22:58.635499,149,student_149,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),高教授班,高教授班,20.01371554541883,分發結果: 高教授班
2025-01-22 00:24:04.635499,215,student_215,資工系 (CS),其他,無,無,高教授班,20.015197844567783,分發結果: 志願序不符合規定
2025-01-22 00:22:33.635499,124,student_124,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),無,李教授班,20.01582483470237,分發結果: 志願序不符合規定
2025-01-22 00:23:55.635499,206,student_206,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班,20.025239120271852,分發結果: 志願序不符合規定
2025-01-22 00:23:03.635499,154,student_154,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),李教授班,李教授班,20.02751636889917,分發結果: 李教授班
2025-01-22 00:23:33.635499,184,student_184,資工系 (CS),其他,雙主修:資工系 (also major in CS),高教授班,李教授班,20.03594512435186,分發結果: 高教授班
2025-01-22 00:23:57.635499,208,student_208,資工系 (CS),其他,無,李教授班,李教授班,20.037075876969144,分發結果: 李教授班
2025-01-22 00:22:44.635499,135,student_135,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),無,無,20.041521850494455,分發結果: 志願序不符合規定
2025-01-22 00:20:48.635499,19,student_19,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班,20.0436217064971,分發結果: 李教授班
2025-01-22 00:20:50.635499,21,student_21,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無,20.04381979965251,分發結果: 李教授班
2025-01-22 00:23:27.635499,178,student_178,資工系 (CS),大五、大六、或大七,無,無,李教授班,20.044460930157605,分發結果: 志願序不符合規定
2025-01-22 00:20:44.635499,15,student_15,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,無,20.05369035683686,分發結果: 高教授班
2025-01-22 00:22:18.635499,109,student_109,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),李教授班,李教授班,20.114051930150985,分發結果: 李教授班
2025-01-22 00:20:34.635499,5,student_5,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,高教授班,20.114712543662456,分發結果: 高教授班
2025-01-22 00:23:34.635499,185,student_185,資工系 (CS),其他,雙主修:資工系 (also major in CS),高教授班,高教授班,20.118933609578725,分發結果: 高教授班
2025-01-22 00:20:52.635499,23,student_23,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班,20.12014325694037,分發結果: 高教授班
2025-01-22 00:23:44.635499,195,student_195,資工系 (CS),其他,輔系:資工系 (minor in CS),高教授班,無,20.124872025083977,分發結果: 高教授班
2025-01-22 00:20:51.635499,22,student_22,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班,20.125914626670788,分發結果: 高教授班
2025-01-22 00:23:23.635499,174,student_174,資工系 (CS),大五、大六、或大七,無,李教授班,無,20.142894171985365,分發結果: 李教授班
2025-01-22 00:22:59.635499,150,student_150,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),高教授班,無,20.148614866376235,分發結果: 高教授班
2025-01-22 00:23:02.635499,153,student_153,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),無,無,20.149870966548647,分發結果: 志願序不符合規定
2025-01-22 00:23:07.635499,158,student_158,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),高教授班,高教授班,20.154198443541627,分發結果: 高教授班
2025-01-22 00:22:48.635499,139,student_139,資工系 (CS),大四 (senior),無,高教授班,李教授班,20.166127636539482,分發結果: 高教授班
2025-01-22 00:22:29.635499,120,student_120,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),李教授班,無,20.177091912582966,分發結果: 李教授班
2025-01-22 00:23:12.635499,163,student_163,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班,20.177327380007842,分發結果: 李教授班
2025-01-22 00:20:40.635499,11,student_11,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,高教授班,20.183755757731095,分發結果: 李教授班
2025-01-22 00:23:11.635499,162,student_162,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),無,無,20.204001796510713,分發結果: 志願序不符合規定
2025-01-22 00:23:16.635499,167,student_167,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班,20.217735885637538,分發結果: 高教授班
2025-01-22 00:23:54.635499,205,student_205,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班,20.222251652361802,分發結果: 志願序不符合規定
2025-01-22 00:22:37.635499,128,student_128,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班,20.222642820919972,分發結果: 李教授班
2025-01-22 00:23:39.635499,190,student_190,資工系 (CS),其他,輔系:資工系 (minor in CS),李教授班,李教授班,20.224234237822184,分發結果: 李教授班
2025-01-22 00:20:32.635499,3,student_3,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,無,20.227091732682922,分發結果: 李教授班
2025-01-22 00:20:45.635499,16,student_16,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,李教授班,20.234894338714206,分發結果: 志願序不符合規定
2025-01-22 00:22:49.635499,140,student_140,資工系 (CS),大四 (senior),無,高教授班,高教授班,20.23729198405565,分發結果: 高教授班
2025-01-22 00:22:22.635499,113,student_113,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),高教授班,高教授班,20.24546674016016,分發結果: 高教授班
2025-01-22 00:20:43.635499,14,student_14,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,高教授班,20.257279673041538,分發結果: 高教授班
2025-01-22 00:22:21.635499,112,student_112,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),高教授班,李教授班,20.258602452139872,分發結果: 高教授班
2025-01-22 00:23:50.635499,201,student_201,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無,20.262842643090796,分發結果: 李教授班
2025-01-22 00:23:28.635499,179,student_179,資工系 (CS),大五、大六、或大七,無,無,高教授班,20.26601330016717,分發結果: 志願序不符合規定
2025-01-22 00:23:43.635499,194,student_194,資工系 (CS),其他,輔系:資工系 (minor in CS),高教授班,高教授班,20.273141705044964,分發結果: 高教授班
2025-01-22 00:22:38.635499,129,student_129,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無,20.287061969218655,分發結果: 李教授班
2025-01-22 00:23:48.635499,199,student_199,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班,20.292158710408156,分發結果: 李教授班
2025-01-22 00:24:05.635499,216,student_216,資工系 (CS),其他,無,無,無,20.295488186733834,分發結果: 志願序不符合規定
2025-01-22 00:22:40.635499,131,student_131,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班,20.304683267046922,分發結果: 高教授班
2025-01-22 00:23:52.635499,203,student_203,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,高教授班,20.310851665583936,分發結果: 高教授班
2025-01-22 00:23:45.635499,196,student_196,資工系 (CS),其他,輔系:資工系 (minor in CS),無,李教授班,20.31179578384535,分發結果: 志願序不符合規定
2025-01-22 00:20:35.635499,6,student_6,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,無,20.311979188589312,分發結果: 高教授班
2025-01-22 00:23:56.635499,207,student_207,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),無,無,20.31233037180914,分發結果: 志願序不符合規定
2025-01-22 00:20:57.635499,28,student_28,資工系 (CS),大一 (freshman),無,李教授班,李教授班,20.31608629295356,分發結果: 李教授班
2025-01-22 00:20:58.635499,29,student_29,資工系 (CS),大一 (freshman),無,李教授班,高教授班,20.337592681780006,分發結果: 李教授班
2025-01-22 00:23:31.635499,182,student_182,資工系 (CS),其他,雙主修:資工系 (also major in CS),李教授班,高教授班,20.33869517587325,分發結果: 李教授班
2025-01-22 00:22:56.635499,147,student_147,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),李教授班,無,20.339391827211646,分發結果: 李教授班
2025-01-22 00:22:20.635499,111,student_111,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),李教授班,無,20.342208370021055,分發結果: 李教授班
2025-01-22 00:22:24.635499,115,student_115,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),無,李教授班,20.349541736456953,分發結果: 志願序不符合規定
2025-01-22 00:23:10.635499,161,student_161,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),無,高教授班,20.356241318680798,分發結果: 志願序不符合規定
2025-01-22 00:20:30.635499,1,student_1,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,李教授班,20.380127165523263,分發結果: 李教授班
2025-01-22 00:20:54.635499,25,student_25,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班,20.383506304623413,分發結果: 志願序不符合規定
2025-01-22 00:23:32.635499,183,student_183,資工系 (CS),其他,雙主修:資工系 (also major in CS),李教授班,無,20.384339394300618,分發結果: 李教授班
2025-01-22 00:22:55.635499,146,student_146,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),李教授班,高教授班,20.403427142652188,分發結果: 李教授班
2025-01-22 00:22:54.635499,145,student_145,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),李教授班,李教授班,20.407077175664504,分發結果: 李教授班
2025-01-22 00:23:01.635499,152,student_152,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),無,高教授班,20.418319888397008,分發結果: 志願序不符合規定
2025-01-22 00:23:24.635499,175,student_175,資工系 (CS),大五、大六、或大七,無,高教授班,李教授班,20.43969521168636,分發結果: 高教授班
2025-01-22 00:23:18.635499,169,student_169,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班,20.448831057287226,分發結果: 志願序不符合規定
2025-01-22 00:22:53.635499,144,student_144,資工系 (CS),大四 (senior),無,無,無,20.47616610515385,分發結果: 志願序不符合規定
2025-01-22 00:21:02.635499,33,student_33,資工系 (CS),大一 (freshman),無,高教授班,無,20.47932491785966,分發結果: 高教授班
2025-01-22 00:20:55.635499,26,student_26,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班,20.490187738757363,分發結果: 志願序不符合規定
2025-01-22 00:23:04.635499,155,student_155,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),李教授班,高教授班,20.490375435039613,分發結果: 李教授班
2025-01-22 00:23:38.635499,189,student_189,資工系 (CS),其他,雙主修:資工系 (also major in CS),無,無,20.498444970114242,分發結果: 志願序不符合規定
2025-01-22 00:22:41.635499,132,student_132,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無,20.505558196673636,分發結果: 高教授班
2025-01-22 00:22:23.635499,114,student_114,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),高教授班,無,20.508083288634655,分發結果: 高教授班
2025-01-22 00:23:36.635499,187,student_187,資工系 (CS),其他,雙主修:資工系 (also major in CS),無,李教授班,20.527967936161016,分發結果: 志願序不符合規定
2025-01-22 00:20:41.635499,12,student_12,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,無,20.528014050855035,分發結果: 李教授班
2025-01-22 00:23:37.635499,188,student_188,資工系 (CS),其他,雙主修:資工系 (also major in CS),無,高教授班,20.536422047198457,分發結果: 志願序不符合規定
2025-01-22 00:22:42.635499,133,student_133,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),無,李教授班,20.57294887504473,分發結果: 志願序不符合規定
2025-01-22 00:22:57.635499,148,student_148,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),高教授班,李教授班,20.575380842231834,分發結果: 高教授班
2025-01-22 00:20:47.635499,18,student_18,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,無,20.57984071823555,分發結果: 志願序不符合規定
2025-01-22 00:20:36.635499,7,student_7,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,李教授班,20.582819854133405,分發結果: 志願序不符合規定
2025-01-22 00:23:21.635499,172,student_172,資工系 (CS),大五、大六、或大七,無,李教授班,李教授班,20.587626909716107,分發結果: 李教授班
2025-01-22 00:22:28.635499,119,student_119,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),李教授班,高教授班,20.591248062822793,分發結果: 高教授班
2025-01-22 00:23:49.635499,200,student_200,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班,20.605353422619036,分發結果: 高教授班
2025-01-22 00:23:47.635499,198,student_198,資工系 (CS),其他,輔系:資工系 (minor in CS),無,無,20.60958632957845,分發結果: 志願序不符合規定
2025-01-22 00:20:56.635499,27,student_27,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),無,無,20.61115234372165,分發結果: 志願序不符合規定
2025-01-22 00:22:34.635499,125,student_125,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),無,高教授班,20.61118615500605,分發結果: 志願序不符合規定
2025-01-22 00:21:01.635499,32,student_32,資工系 (CS),大一 (freshman),無,高教授班,高教授班,20.629708595266965,分發結果: 高教授班
2025-01-22 00:23:29.635499,180,student_180,資工系 (CS),大五、大六、或大七,無,無,無,20.632817229330804,分發結果: 志願序不符合規定
2025-01-22 00:23:17.635499,168,student_168,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無,20.643328656224252
2025-01-22 00:20:59.635499,30,student_30,資工系 (CS),大一 (freshman),無,李教授班,無,20.643806407068762
2025-01-22 00:23:26.635499,177,student_177,資工系 (CS),大五、大六、或大七,無,高教授班,無,20.647044330373248
2025-01-22 00:24:01.635499,212,student_212,資工系 (CS),其他,無,高教授班,高教授班,20.653248222396268
2025-01-22 00:21:05.635499,36,student_36,資工系 (CS),大一 (freshman),無,無,無,20.669358796699775
2025-01-22 00:22:26.635499,117,student_117,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),無,無,20.67118041759551
2025-01-22 00:23:46.635499,197,student_197,資工系 (CS),其他,輔系:資工系 (minor in CS),無,高教授班,20.674123661357005
2025-01-22 00:22:31.635499,122,student_122,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),高教授班,高教授班,20.674625570848228
2025-01-22 00:23:35.635499,186,student_186,資工系 (CS),其他,雙主修:資工系 (also major in CS),高教授班,無,20.699804578619027
2025-01-22 00:22:39.635499,130,student_130,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班,20.703086698675392
2025-01-22 00:20:33.635499,4,student_4,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),高教授班,李教授班,20.7031345743145
2025-01-22 00:23:14.635499,165,student_165,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,無,20.703391346187846
2025-01-22 00:22:36.635499,127,student_127,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,李教授班,20.706682951821673
2025-01-22 00:23:42.635499,193,student_193,資工系 (CS),其他,輔系:資工系 (minor in CS),高教授班,李教授班,20.70861250480887
2025-01-22 00:23:41.635499,192,student_192,資工系 (CS),其他,輔系:資工系 (minor in CS),李教授班,無,20.71441376032877
2025-01-22 00:21:04.635499,35,student_35,資工系 (CS),大一 (freshman),無,無,高教授班,20.721592584077047
2025-01-22 00:20:42.635499,13,student_13,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),高教授班,李教授班,20.72355521802491
2025-01-22 00:22:52.635499,143,student_143,資工系 (CS),大四 (senior),無,無,高教授班,20.731575674827912
2025-01-22 00:22:25.635499,116,student_116,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),無,高教授班,20.745195791537178
2025-01-22 00:20:31.635499,2,student_2,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),李教授班,高教授班,20.751035706960465
2025-01-22 00:23:53.635499,204,student_204,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無,20.752516797768166
2025-01-22 00:22:32.635499,123,student_123,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),高教授班,無,20.757341788064444
2025-01-22 00:20:46.635499,17,student_17,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),無,高教授班,20.758563787936865
2025-01-22 00:23:20.635499,171,student_171,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),無,無,20.761348445151043
2025-01-22 00:22:45.635499,136,student_136,資工系 (CS),大四 (senior),無,李教授班,李教授班,20.767214254688234
2025-01-22 00:22:50.635499,141,student_141,資工系 (CS),大四 (senior),無,高教授班,無,20.77257872693344
2025-01-22 00:23:13.635499,164,student_164,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班,20.7756839792904
2025-01-22 00:23:00.635499,151,student_151,資工系 (CS),大五、大六、或大七,雙主修:資工系 (also major in CS),無,李教授班,20.78238772547887
2025-01-22 00:23:59.635499,210,student_210,資工系 (CS),其他,無,李教授班,無,20.787538641800282
2025-01-22 00:20:53.635499,24,student_24,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,無,20.788653547207627
2025-01-22 00:22:47.635499,138,student_138,資工系 (CS),大四 (senior),無,李教授班,無,20.809656776245188
2025-01-22 00:23:51.635499,202,student_202,資工系 (CS),其他,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班,20.814238037575546
2025-01-22 00:22:51.635499,142,student_142,資工系 (CS),大四 (senior),無,無,李教授班,20.82059471576721
2025-01-22 00:22:43.635499,134,student_134,資工系 (CS),大四 (senior),以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班,20.827768728803246
2025-01-22 00:23:15.635499,166,student_166,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),高教授班,李教授班,20.837349959178166
2025-01-22 00:22:19.635499,110,student_110,資工系 (CS),大四 (senior),雙主修:資工系 (also major in CS),李教授班,高教授班,20.84281175409204
2025-01-22 00:23:08.635499,159,student_159,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),高教授班,無,20.8498070218378
2025-01-22 00:20:38.635499,9,student_9,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,無,20.85070962696239
2025-01-22 00:21:00.635499,31,student_31,資工系 (CS),大一 (freshman),無,高教授班,李教授班,20.862773979717833
2025-01-22 00:22:35.635499,126,student_126,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),無,無,20.863414588067524
2025-01-22 00:22:30.635499,121,student_121,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),高教授班,李教授班,20.865324724813128
2025-01-22 00:23:40.635499,191,student_191,資工系 (CS),其他,輔系:資工系 (minor in CS),李教授班,高教授班,20.86616699076211
2025-01-22 00:23:19.635499,170,student_170,資工系 (CS),大五、大六、或大七,以「資訊工程」為第二專長 (second specialty in Computer Science),無,高教授班,20.867600480522604
2025-01-22 00:22:27.635499,118,student_118,資工系 (CS),大四 (senior),輔系:資工系 (minor in CS),李教授班,李教授班,20.882401410161805
2025-01-22 00:20:49.635499,20,student_20,資工系 (CS),大一 (freshman),以「資訊工程」為第二專長 (second specialty in Computer Science),李教授班,高教授班,20.88973250215752
2025-01-22 00:23:58.635499,209,student_209,資工系 (CS),其他,無,李教授班,高教授班,20.892799408272143
2025-01-22 00:23:30.635499,181,student_181,資工系 (CS),其他,雙主修:資工系 (also major in CS),李教授班,李教授班,20.897744461871756
2025-01-22 00:24:03.635499,214,student_214,資工系 (CS),其他,無,無,李教授班,20.912678306146848
2025-01-22 00:23:25.635499,176,student_176,資工系 (CS),大五、大六、或大七,無,高教授班,高教授班,20.918844704945613
2025-01-22 00:24:02.635499,213,student_213,資工系 (CS),其他,無,高教授班,無,20.930234100711722
2025-01-22 00:20:37.635499,8,student_8,資工系 (CS),大一 (freshman),雙主修:資工系 (also major in CS),無,高教授班,20.932319048614385
2025-01-22 00:24:00.635499,211,student_211,資工系 (CS),其他,無,高教授班,李教授班,20.93365853378371
2025-01-22 00:23:05.635499,156,student_156,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),李教授班,無,20.942734502680658
2025-01-22 00:20:39.635499,10,student_10,資工系 (CS),大一 (freshman),輔系:資工系 (minor in CS),李教授班,李教授班,20.94492868703479
2025-01-22 00:23:06.635499,157,student_157,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),高教授班,李教授班,20.94571910963805
2025-01-22 00:23:22.635499,173,student_173,資工系 (CS),大五、大六、或大七,無,李教授班,高教授班,20.965380606629118
2025-01-22 00:23:09.635499,160,student_160,資工系 (CS),大五、大六、或大七,輔系:資工系 (minor in CS),無,李教授班,20.979188325725417
2025-01-22 00:21:03.635499,34,student_34,資工系 (CS),大一 (freshman),無,無,李教授班,20.98705760939277
2025-01-22 00:21:53.635499,84,student_84,資工系 (CS),大三 (junior),輔系:資工系 (minor in CS),李教授班,無,30.00406429750053
2025-01-22 00:22:13.635499,104,student_104,資工系 (CS),大三 (junior),無,高教授班,高教授班,30.006965670977614
